iteration,z_case,pi_case,target_corr_y_over_pi_z_over_pi,pi_nonincreasing,z_over_pi_increasing,corr_y_z,corr_y_pi,corr_y_over_pi_z_over_pi,Start_z_over_Vincent_z,Start_y_over_Vincent_y,ABC_z_over_Vincent_z,ABC_y_over_Vincent_y,Random_z_over_Vincent_z,Random_y_over_Vincent_y,evaluations_ABC,evaluations_Random,valid_ABC,valid_Random
100,zratio_00,equal,0.0,True,True,-4.405864650633755e-17,0.0,-2.967894219344018e-17,0.9983660660756505,0.05571160778985072,1.1926355371921034,0.05653452145832259,0.9983660660756505,0.05571160778985072,4723,4723,3905,2013
100,zratio_00,pi80,0.0,True,True,-0.47963318069801864,0.7974729853799821,1.8930010416066563e-18,1.0000307767135674,0.04455964244341132,1.0863871205402091,0.04502097237354046,1.0000307767135674,0.04455964244341132,4530,4530,3804,2207
100,zratio_00,pi90,0.0,True,True,-0.5061667360851873,0.9016344548590017,-3.359302959258436e-17,1.0005105387018662,0.10056014595230738,1.1357474810898878,0.10295228968747437,1.0005105387018662,0.10056014595230738,4670,4670,3877,2179
100,zratio_80,equal,0.8,True,True,0.8000000000000003,0.0,0.8000000000000003,0.9985190361351397,0.11379803325989106,1.1363058145048084,0.11942600628552363,0.9985190361351397,0.11379803325989106,4957,4957,4113,2121
100,zratio_80,pi80,0.8,True,True,-0.31526166781527554,0.7965539118829894,0.7999999999999998,0.9995300897072846,0.10880373475274352,1.1140566711113578,0.11041625664550406,0.9995300897072846,0.10880373475274352,4449,4449,3745,2089
100,zratio_80,pi90,0.8,True,True,-0.42338571182066276,0.9004032064058423,0.8000000000000003,0.999974250436267,0.103577202681312,1.0650228192917865,0.10774349993712244,0.999974250436267,0.103577202681312,4618,4618,3886,2275
100,zratio_90,equal,0.9,True,True,0.9,0.0,0.9000000000000001,0.9983972934779349,0.2328580210424442,1.1504115491934057,0.25107540324727656,0.9983972934779349,0.2328580210424442,4903,4903,4071,2084
100,zratio_90,pi80,0.9,True,True,0.3167045174669938,0.7995333864808934,0.9,0.9996002978063875,0.25228198607188923,1.0567658874011885,0.25973038970014717,0.9996002978063875,0.25228198607188923,4751,4751,3973,2283
100,zratio_90,pi90,0.9,True,True,-0.3522663509014396,0.9016883761787282,0.9000000000000002,0.9996991763200207,0.1987346246363953,1.069874562435397,0.20983365628760156,0.9996991763200207,0.1987346246363953,4645,4645,3898,2207
