z_variable,size_variable,pi_mode,pi_size_strength,objective,iterations,colony_size,corr_y_z,corr_y_size,corr_y_pi,corr_y_over_pi_z_over_pi,Ppi_z_eff,Ppi_y_eff,Ppi_z_opt_eff,Ppi_y_z_order_eff,Ppi_y_opt_eff,Start_z_eff,Start_y_eff,Start_z_over_Ppi_z,Start_y_over_Ppi_y,Start_z_over_Ppi_z_opt,Start_y_over_Ppi_y_opt,ABC_z_eff,ABC_y_eff,Random_z_eff,Random_y_eff,evaluations_ABC,evaluations_Random,ABC_valid_percent,Random_valid_percent,ABC_z_over_Ppi_z,ABC_y_over_Ppi_y,ABC_z_over_Ppi_z_opt,ABC_y_over_Ppi_y_opt,Random_z_over_Ppi_z,Random_y_over_Ppi_y,Random_z_over_Ppi_z_opt,Random_y_over_Ppi_y_opt,both_ABC,both_Random
z_00,size_00,auxiliary,0.35,eff_z,50,20,-2.4830408006784862e-17,1.431161999086107e-17,2.3835928402128973e-16,-3.475577650980294e-17,12.940311930050942,1.008922640219851,12.940311923075058,1.008922640219851,6.2376311056539215,12.94062140831539,1.0090161430026268,1.0000239158272322,1.0000926758693367,1.0000239163663267,0.1617627150294337,12.94062140831539,1.0090161430026268,12.94062140831539,1.0090161430026268,5157,1520,100.0,99.86842105263158,1.0000239158272322,1.0000926758693367,1.0000239163663267,0.1617627150294337,1.0000239158272322,1.0000926758693367,1.0000239163663267,0.1617627150294337,False,False
z_00,size_80,auxiliary,0.35,eff_z,50,20,-2.4830408006784862e-17,0.8000000000000004,0.7968202530366716,0.10313052788399882,0.8311201502898055,1.441047675886748,4.957274197997176,1.441047675886748,2.4502170675811374,0.8311209346655268,1.4410220601048294,1.000000943757315,0.9999822241953911,0.167656841536285,0.588120162564785,1.1936038420836894,0.5695820728774104,0.9356784843422304,0.6397109626901585,6232,1520,99.96790757381258,99.9342105263158,1.4361387359787734,0.395255536932127,0.24077825724587232,0.23246188283216218,1.1258041139009398,0.44392074835172446,0.188748583792331,0.26108338365371164,False,False
z_00,size_90,auxiliary,0.35,eff_z,50,20,-2.4830408006784862e-17,0.9000000000000001,0.8655222606938383,0.03316670100622662,0.8760830557736132,2.684707741746442,6.265601432632024,2.684707741746442,4.881811253431586,0.8760828810604523,2.6847521765745226,0.9999998005746604,1.0000165510857624,0.13982422764679936,0.5499500159264293,1.0142443762940487,0.5642662798504559,0.9675866927972572,0.7056344608409736,6707,1520,99.88072163411361,100.0,1.1577034501579693,0.21017791660383572,0.1618750230443544,0.11558543551920704,1.104446303829998,0.2628347398372487,0.15442838220732436,0.1445435770063744,False,False
z_80,size_00,auxiliary,0.35,eff_z,50,20,0.7999999999999999,1.431161999086107e-17,2.3835928402128973e-16,0.8000000000000003,9.86810207126051,2.243800749919743,9.868102073161047,2.243800749919743,6.2376311056539215,9.868280349035972,2.2442760409460263,1.0000180660652043,1.0002118240785418,1.0000180658726068,0.35979621156367625,9.868280349035972,2.2442760409460263,9.868280349035972,2.2442760409460263,5032,1520,99.96025437201908,99.9342105263158,1.0000180660652043,1.0002118240785418,1.0000180658726068,0.35979621156367625,1.0000180660652043,1.0002118240785418,1.0000180658726068,0.35979621156367625,False,False
z_80,size_80,auxiliary,0.35,eff_z,50,20,0.7999999999999999,0.8000000000000004,0.7968202530366716,-0.5431588800339152,1.25358508189391,1.441047675886748,4.600513945894489,1.441047675886748,2.4502170675811374,1.2535858046019197,1.4410220601048294,1.000000576512931,0.9999822241953911,0.2724882087838518,0.588120162564785,1.8445588550892948,0.7679951280612057,1.2535858046019197,1.4410220601048294,5107,1520,99.15801840610926,99.9342105263158,1.4714269352204994,0.532942206501683,0.40094625878384393,0.3134396287670027,1.000000576512931,0.9999822241953911,0.2724882087838518,0.588120162564785,False,False
z_80,size_90,auxiliary,0.35,eff_z,50,20,0.7999999999999999,0.9000000000000001,0.8655222606938383,-0.5857763447512758,1.50271331829187,2.684707741746442,5.779388626944257,2.684707741746442,4.881811253431586,1.5027133964664598,2.6847521765745226,1.0000000520222911,1.0000165510857624,0.2600125192240258,0.5499500159264293,2.6310381507318037,0.8904966582467304,1.5027133964664598,2.6847521765745226,5007,1520,99.9201118434192,99.9342105263158,1.7508583431751956,0.33169221528278875,0.45524506493049516,0.18241111997535156,1.0000000520222911,1.0000165510857624,0.2600125192240258,0.5499500159264293,False,False
z_90,size_00,auxiliary,0.35,eff_z,50,20,0.9,1.431161999086107e-17,2.3835928402128973e-16,0.9000000000000004,10.426075170042793,2.939418442772472,10.42607517361845,2.939418442772472,6.2376311056539215,10.42627205364841,2.9402403942319806,1.00001888377001,1.0002796306397035,1.00001888342705,0.47137131780154234,10.42627205364841,2.9402403942319806,10.42627205364841,2.9402403942319806,4707,1520,99.97875504567665,99.86842105263158,1.00001888377001,1.0002796306397035,1.00001888342705,0.47137131780154234,1.00001888377001,1.0002796306397035,1.00001888342705,0.47137131780154234,False,False
z_90,size_80,auxiliary,0.35,eff_z,50,20,0.9,0.8000000000000004,0.7968202530366716,-0.5170980066756964,1.2476092718611684,1.441047675886748,2.915913893022495,1.441047675886748,2.4502170675811374,1.247610495368479,1.4410220601048294,1.0000009806814827,0.9999822241953911,0.4278625985334795,0.588120162564785,1.6651021266173969,0.8739740499198819,1.247610495368479,1.4410220601048294,5307,1520,100.0,99.9342105263158,1.3346342995138354,0.6064851736304161,0.5710395394739975,0.35669249940482706,1.0000009806814827,0.9999822241953911,0.4278625985334795,0.588120162564785,False,False
z_90,size_90,auxiliary,0.35,eff_z,50,20,0.9,0.9000000000000001,0.8655222606938383,-0.5881511960136881,1.4203281398230647,2.684707741746442,3.019190686396836,2.684707741746442,4.881811253431586,1.4203279808638398,2.6847521765745226,0.9999998880827462,1.0000165510857624,0.47043334734146536,0.5499500159264293,1.9047540253284267,0.9969028896743949,1.4203279808638398,2.6847521765745226,4732,1520,99.95773457311918,100.0,1.3410661747261508,0.37132641075705874,0.6308823201894542,0.20420758565248484,0.9999998880827462,1.0000165510857624,0.47043334734146536,0.5499500159264293,False,False
z_00,size_00,auxiliary,0.35,eff_z,100,20,-2.4830408006784862e-17,1.431161999086107e-17,2.3835928402128973e-16,-3.475577650980294e-17,12.940311930050942,1.008922640219851,12.940311923075058,1.008922640219851,6.2376311056539215,12.94062140831539,1.0090161430026268,1.0000239158272322,1.0000926758693367,1.0000239163663267,0.1617627150294337,12.94062140831539,1.0090161430026268,12.94062140831539,1.0090161430026268,9920,3020,99.9899193548387,99.83443708609272,1.0000239158272322,1.0000926758693367,1.0000239163663267,0.1617627150294337,1.0000239158272322,1.0000926758693367,1.0000239163663267,0.1617627150294337,False,False
