z_variable,size_variable,pi_mode,pi_mix_alpha,pi_size_strength,corr_y_z,corr_y_size,Ppi_z_eff,Ppi_y_eff,ABC_z_eff,ABC_y_eff,Random_z_eff,Random_y_eff,ABC_z_over_Ppi_z,ABC_y_over_Ppi_y,Random_z_over_Ppi_z,Random_y_over_Ppi_y,ABC_valid_percent,Random_valid_percent,evaluations_ABC,evaluations_Random
z_90,size_90,auxiliary,,0.35,0.9,0.9000000000000001,1.4203281398230647,2.684707741746442,1.4203279808638398,2.6847521765745226,1.4203279808638398,2.6847521765745226,0.9999998880827462,1.0000165510857624,0.9999998880827462,1.0000165510857624,99.92869027810792,100.0,4207,1520
z_90,size_80,auxiliary,,0.35,0.9,0.8000000000000004,1.2476092718611684,1.441047675886748,1.266683926207515,1.4641853569436427,1.247610495368479,1.4410220601048294,1.0152889648839265,1.0160561523702933,1.0000009806814827,0.9999822241953911,99.97756338344178,100.0,4457,1520
z_90,size_00,auxiliary,,0.35,0.9,1.431161999086107e-17,10.426075170042793,2.939418442772472,10.42627205364841,2.9402403942319806,10.42627205364841,2.9402403942319806,1.00001888377001,1.0002796306397035,1.00001888377001,1.0002796306397035,99.97128087306146,99.9342105263158,3482,1520
z_80,size_90,auxiliary,,0.35,0.7999999999999999,0.9000000000000001,1.50271331829187,2.684707741746442,1.5027133964664598,2.6847521765745226,1.5027133964664598,2.6847521765745226,1.0000000520222911,1.0000165510857624,1.0000000520222911,1.0000165510857624,99.95301855766972,99.9342105263158,4257,1520
z_80,size_80,auxiliary,,0.35,0.7999999999999999,0.8000000000000004,1.25358508189391,1.441047675886748,1.3808490528229882,1.583267992609884,1.2535858046019197,1.4410220601048294,1.1015200107014742,1.0986923049826376,1.000000576512931,0.9999822241953911,99.94848016486347,100.0,3882,1520
z_80,size_00,auxiliary,,0.35,0.7999999999999999,1.431161999086107e-17,9.86810207126051,2.243800749919743,9.868280349035972,2.2442760409460263,9.868280349035972,2.2442760409460263,1.0000180660652043,1.0002118240785418,1.0000180660652043,1.0002118240785418,99.97128087306146,99.9342105263158,3482,1520
z_00,size_90,auxiliary,,0.35,-2.4830408006784862e-17,0.9000000000000001,0.8760830557736132,2.684707741746442,0.8762755263123609,2.688315516245546,0.8760828810604523,2.6847521765745226,1.0002196943971,1.0013438239265318,0.9999998005746604,1.0000165510857624,100.0,99.80263157894737,4182,1520
z_00,size_80,auxiliary,,0.35,-2.4830408006784862e-17,0.8000000000000004,0.8311201502898055,1.441047675886748,0.8885089829350372,1.54030812505905,0.8311209346655268,1.4410220601048294,1.0690499834773837,1.068880753102927,1.000000943757315,0.9999822241953911,100.0,99.86842105263158,3532,1520
z_00,size_00,auxiliary,,0.35,-2.4830408006784862e-17,1.431161999086107e-17,12.940311930050942,1.008922640219851,12.94062140831539,1.0090161430026268,12.94062140831539,1.0090161430026268,1.0000239158272322,1.0000926758693367,1.0000239158272322,1.0000926758693367,99.9144811858609,99.9342105263158,3508,1520
