Method,N,n,ite,rho,HTm,HTv,Eff,RB,Dm,Ds,Vm,Vs,Mm,Ms,Lm,Ls
Lopi,959,100,5000,0,10553.740624700002,2310146.8761420688,1.073643838012157,-0.0008415873035408132,0.015230757277900688,0.033835866183015074,0.1398834160975383,0.020458095981733534,-0.33530203056742297,0.03217799950350481,0.06616494512758661,0.006017915418581196
Maxe,959,100,5000,0,10584.909927620003,2422931.8165207608,1.0236668409573932,0.0021093162990658693,0.004819682986746125,0.12724990000327407,0.4383638674714389,0.08517105033415619,-0.004415452075047885,0.04287495361469021,0.11793988058545371,0.015016342962766098
Rand,959,100,5000,0,10619.24247286,2480274.9584729658,1.0,0.0053596947786677075,0.00025842387918232983,0.12850645642734437,0.4390009144475099,0.08684258441623274,-0.004720258497412253,0.04233047194431628,0.11833822389616469,0.015204790944712951
Scps,959,100,5000,0,10597.790736120003,2272656.3006439237,1.0913550622547792,0.003328786118608924,0.014675288180124466,0.034224395657509524,0.1352969997205554,0.020148484270637555,-0.3724954983316206,0.029926194153601305,0.06525552486707695,0.006127709386034906
