Method,N,n,ite,rho,HTm,HTv,Eff,RB,Dm,Ds,Vm,Vs,Mm,Ms,Lm,Ls
Lopi,100,10,5000,0,213.2822131937636,245.1790597428794,3.7772436042973454,7.831541356091079e-05,-0.023274602844993404,0.15559523268886252,0.17506320000000009,0.07001632140303118,-0.3173837144328956,0.09251672354847007,0.23357181376159492,0.04751354003664727
Maxe,100,10,5000,0,213.4519830411397,905.5725097482449,1.0226691130220926,0.0008743646500608354,-0.15900496956727805,0.2797907294048647,0.43501120000000026,0.2592826052176152,-0.04648586511225845,0.129959730584263,0.3565762896326926,0.09000697403639293
Rand,100,10,5000,0,213.00519776780996,926.101035321428,1.0,-0.0012206073441450862,-0.1585273201181811,0.2799292883761801,0.43993120000000036,0.26232023644364477,-0.045379375453982566,0.12935957034034942,0.3585500593257127,0.08917402929743705
Scps,100,10,5000,0,213.22580580228308,238.45954078531065,3.883682037932016,-0.0001861783208390677,-0.027251202415892618,0.15383031855584495,0.16721560000000008,0.06737641599941771,-0.34925254763647207,0.08875522082377237,0.22806631238256664,0.04762415903841117
Wave,100,10,5000,0,213.34517306153452,281.4872152250545,3.2900287658925897,0.0003735336483876841,-0.03502391052380442,0.14972796582751122,0.1898340000000001,0.06643461714852536,-0.5274522986673496,0.08936536741980157,0.2396026318120471,0.04503783878676705
