design,population,design_type,n,mode,y,true_total,mean_nht,true_var,E_VarB,RB_VarB,E_UPB,RB_UPB,E_HybridB_a035,RB_HybridB_a035,E_LM_simple_q8,RB_LM_simple_q8,E_LM_Tille_j3,RB_LM_Tille_j3
aggregated_best_20_ep,aggregated,best,20,ep,z,2890.7252931792573,2890.7252931792573,11592.043952496666,13784.77384965125,0.18915817660286893,13784.77384965125,0.18915817660286893,13784.773849651252,0.18915817660286915,31392.868004933567,1.7081391455708075,12889.85862028936,0.111957362576526
aggregated_best_20_ep,aggregated,best,20,ep,plane,2890.7252931792573,2890.7252931792573,11592.043952496666,13784.77384965125,0.18915817660286893,13784.77384965125,0.18915817660286893,13784.773849651252,0.18915817660286915,31392.868004933567,1.7081391455708075,12889.85862028936,0.111957362576526
aggregated_best_20_ep,aggregated,best,20,ep,peak,7263.699970585046,7263.699970585045,26938.659350133385,44320.0739374742,0.645221960062194,44320.0739374742,0.645221960062194,44320.0739374742,0.645221960062194,183506.39683453442,5.81200925589587,92234.90348141365,2.4238861809192804
aggregated_best_20_ep,aggregated,best,20,ep,bird,6671.0377551274105,6671.0377551274105,45115.21221798892,40573.2147168413,-0.10067552113467781,40573.2147168413,-0.10067552113467781,40573.214716841314,-0.10067552113467748,213181.0972292805,3.7252597682401722,107212.10859233823,1.3764070547714113
aggregated_best_50_ep,aggregated,best,50,ep,z,2890.7252931792573,2890.7252931792573,538.0383998388587,1926.214487396534,2.5800687980141026,1926.214487396534,2.5800687980141026,1926.2144873965333,2.5800687980141013,3742.290832264018,5.955434469704812,1298.6237197910634,1.4136264626837014
aggregated_best_50_ep,aggregated,best,50,ep,plane,2890.7252931792573,2890.7252931792573,538.0383998388587,1926.214487396534,2.5800687980141026,1926.214487396534,2.5800687980141026,1926.2144873965333,2.5800687980141013,3742.290832264018,5.955434469704812,1298.6237197910634,1.4136264626837014
aggregated_best_50_ep,aggregated,best,50,ep,peak,7263.699970585046,7263.699970585045,4907.896100426886,7317.16975118886,0.49089744392763657,7317.16975118886,0.49089744392763657,7317.169751188856,0.4908974439276359,46019.95046244347,8.376716523897212,13987.910763170623,1.8500829025198726
aggregated_best_50_ep,aggregated,best,50,ep,bird,6671.0377551274105,6671.0377551274105,9162.792160333871,10367.872942261907,0.13151894759163962,10367.872942261907,0.13151894759163962,10367.872942261909,0.13151894759163985,69223.39635019466,6.554836466755819,21897.641873123303,1.3898437823264347
aggregated_initial_20_ep,aggregated,initial,20,ep,z,2890.7252931792573,2890.7252931792573,26278.907308649246,20106.22107641783,-0.2348912821881214,20106.22107641783,-0.2348912821881214,20106.22107641783,-0.2348912821881214,32030.71209966526,0.21887534072327686,9880.69415511692,-0.6240066590643645
aggregated_initial_20_ep,aggregated,initial,20,ep,plane,2890.7252931792573,2890.7252931792573,26278.907308649246,20106.22107641783,-0.2348912821881214,20106.22107641783,-0.2348912821881214,20106.22107641783,-0.2348912821881214,32030.71209966526,0.21887534072327686,9880.69415511692,-0.6240066590643645
aggregated_initial_20_ep,aggregated,initial,20,ep,peak,7263.699970585046,7263.699970585045,57586.78913759953,35629.11971712825,-0.3812969910165507,35629.11971712825,-0.3812969910165507,35629.11971712824,-0.3812969910165508,178474.47611699553,2.0992260341263944,68007.90316718098,0.18096362352623863
aggregated_initial_20_ep,aggregated,initial,20,ep,bird,6671.0377551274105,6671.037755127411,95779.19072786186,45306.89950189073,-0.5269651042404235,45306.89950189073,-0.5269651042404235,45306.89950189073,-0.5269651042404235,208262.29767644027,1.1744002647524714,86784.48889312355,-0.0939108147227411
aggregated_initial_50_ep,aggregated,initial,50,ep,z,2890.7252931792573,2890.7252931792573,9172.22452826299,6605.309398023345,-0.279857424153763,6605.309398023345,-0.279857424153763,6605.309398023347,-0.2798574241537629,3766.730836254822,-0.5893329012337039,866.2590821876523,-0.9055562715981941
aggregated_initial_50_ep,aggregated,initial,50,ep,plane,2890.7252931792573,2890.7252931792573,9172.22452826299,6605.309398023345,-0.279857424153763,6605.309398023345,-0.279857424153763,6605.309398023347,-0.2798574241537629,3766.730836254822,-0.5893329012337039,866.2590821876523,-0.9055562715981941
aggregated_initial_50_ep,aggregated,initial,50,ep,peak,7263.699970585046,7263.699970585046,3582.466139528048,5230.2488817699505,0.45995765990937754,5230.2488817699505,0.45995765990937754,5230.248881769954,0.4599576599093784,42885.26192262425,10.970877114353948,9084.542332739637,1.535834807342081
aggregated_initial_50_ep,aggregated,initial,50,ep,bird,6671.0377551274105,6671.0377551274105,5680.317756012348,11606.107513754978,1.043214484166922,11606.107513754978,1.043214484166922,11606.10751375498,1.0432144841669224,68868.98170991293,11.124142463160334,15414.53064242752,1.7136740063726132
meuse_best_10_ep,meuse,best,10,ep,z,503.09999999999997,503.09999999999997,23756.039999999997,7363.2487096774175,-0.6900473012472863,7363.2487096774175,-0.6900473012472863,7363.2487096774175,-0.6900473012472863,34240.011015625,0.4413181243854196,17971.67921973356,-0.24349010947390382
meuse_best_10_up,meuse,best,10,up,z,503.09999999999997,503.1000002817919,6561.174380841727,39537.24015099303,5.0259395431463645,1697.0941879670127,-0.7413429228580731,7090.5095729336845,0.08067689736117778,7014.255855216676,0.06905493560694298,3271.611762168517,-0.5013679606319494
meuse_best_20_ep,meuse,best,20,ep,z,503.09999999999997,503.1000003813625,11087.379438978296,4162.641486686168,-0.6245603833082349,4162.641486686168,-0.6245603833082349,4162.641486686168,-0.6245603833082349,16626.243214056067,0.4995647353427437,7120.474647957159,-0.35778560775824664
meuse_best_20_up,meuse,best,20,up,z,503.09999999999997,503.09999977098875,2187.4232930875633,12575.55545732914,4.749026947399218,709.222461665321,-0.6757726481625563,2569.3876253500807,0.1746183893485802,3477.8544293628543,0.5899320631508127,1251.3891572155424,-0.42791632457694195
meuse_best_5_ep,meuse,best,5,ep,z,503.09999999999997,503.0999994311715,60441.98261183223,14413.374771647312,-0.7615337196297441,14413.374771647312,-0.7615337196297441,14413.374771647312,-0.7615337196297441,47189.33144456075,-0.21926235034979014,38268.445982069585,-0.3668565402985625
meuse_best_5_up,meuse,best,5,up,z,503.09999999999997,503.10000023396555,14003.850619417955,133239.36697803964,8.514480738125547,2795.7412378908275,-0.8003591073719246,20340.97033226413,0.452526943129415,9804.991776100736,-0.2998360206367109,6770.489516377072,-0.5165265825537295
meuse_initial_10_ep,meuse,initial,10,ep,z,503.09999999999997,503.0999999999999,31012.364999999998,6413.360645161289,-0.7931998851051415,6413.360645161289,-0.7931998851051415,6413.360645161289,-0.7931998851051415,33498.803437500006,0.08017571176851579,17471.34184110763,-0.43663303843136014
meuse_initial_10_up,meuse,initial,10,up,z,503.09999999999997,503.1000001349269,4780.401306970731,30668.464051485018,5.415458050930701,2006.889677181407,-0.5801838489469531,6656.069851883573,0.3923663358927132,7349.071308011331,0.537333549234662,3385.1633494748758,-0.29186628232682765
meuse_initial_20_ep,meuse,initial,20,ep,z,503.09999999999997,503.09999999999997,9262.648749999997,3973.442137096773,-0.5710252818237576,3973.442137096773,-0.5710252818237576,3973.442137096773,-0.5710252818237576,16916.47416015625,0.8263106608847988,7546.337328833107,-0.18529380390969596
meuse_initial_20_up,meuse,initial,20,up,z,503.09999999999997,503.1000001020156,3358.1447160666103,16258.374488371122,3.841475237974417,704.1320780559919,-0.7903211035881919,2834.884470914255,-0.15581825364728452,3504.3716289842923,0.04354395813202405,1124.3404443167665,-0.6651899964472929
meuse_initial_5_ep,meuse,initial,5,ep,z,503.09999999999997,503.1000004718081,54319.560103552896,16719.899996155476,-0.6921937518587917,16719.899996155476,-0.6921937518587917,16719.89999615548,-0.6921937518587917,48413.81599421368,-0.10872223740547082,37118.24156156898,-0.316668958827942
meuse_initial_5_up,meuse,initial,5,up,z,503.09999999999997,503.10000053712594,10462.44942565605,80232.07261981632,6.668574475788718,3241.549305279027,-0.690173001235247,14524.912797400371,0.388289893357318,10513.271946929408,0.0048576121332286615,8093.164837537243,-0.22645601347508926
regular_best_20_ep,regular,best,20,ep,z,2999.3156558692144,2999.3156558692153,22910.68073108713,35621.40206080333,0.5547945728417065,35621.40206080333,0.5547945728417065,35621.40206080333,0.5547945728417065,39065.48446217604,0.705121070853592,21731.251973322534,-0.05147942881348999
regular_best_20_ep,regular,best,20,ep,plane,2999.3156558692144,2999.3156558692153,22910.68073108713,35621.40206080333,0.5547945728417065,35621.40206080333,0.5547945728417065,35621.40206080333,0.5547945728417065,39065.48446217604,0.705121070853592,21731.251973322534,-0.05147942881348999
regular_best_20_ep,regular,best,20,ep,peak,7370.716937770997,7370.716937770996,8370.546348777345,37790.708525532835,3.5147242427076204,37790.708525532835,3.5147242427076204,37790.708525532835,3.5147242427076204,195426.39976500176,22.346910897106135,128752.65061779968,14.38163045194847
regular_best_20_ep,regular,best,20,ep,bird,7179.306655465731,7179.30665546573,36627.95952455807,34513.32430339807,-0.05773281527577845,34513.32430339807,-0.05773281527577845,34513.32430339807,-0.05773281527577845,195022.39989185697,4.32441343780288,106005.52411498727,1.8941149190664959
regular_best_50_ep,regular,best,50,ep,z,2999.3156558692144,2999.3156558692144,8263.653000733491,10594.529323271445,0.2820636735752411,10594.529323271445,0.2820636735752411,10594.529323271443,0.28206367357524087,4997.857606760168,-0.39519996709487293,2791.2113576822017,-0.6622303287136512
regular_best_50_ep,regular,best,50,ep,plane,2999.3156558692144,2999.3156558692144,8263.653000733491,10594.529323271445,0.2820636735752411,10594.529323271445,0.2820636735752411,10594.529323271443,0.28206367357524087,4997.857606760168,-0.39519996709487293,2791.2113576822017,-0.6622303287136512
regular_best_50_ep,regular,best,50,ep,peak,7370.716937770997,7370.716937770996,2040.4966038091702,11416.252662290104,4.59484031533226,11416.252662290104,4.59484031533226,11416.252662290115,4.594840315332266,52373.96865034918,24.66726577862379,31001.237870980054,14.192986752885245
