population,design,n,mode,y,true_var,RB_VarB_pct,RB_UPB_pct,RB_HybridB_a035_pct,RB_LM_simple_q8_pct,RB_LM_Tille_j3_pct
aggregated,aggregated_best_20_ep,20,ep,bird,45115.21221798892,-0.10067552113467781,-0.10067552113467781,-0.10067552113467748,3.7252597682401722,1.3764070547714113
aggregated,aggregated_best_20_ep,20,ep,peak,26938.659350133385,0.645221960062194,0.645221960062194,0.645221960062194,5.81200925589587,2.4238861809192804
aggregated,aggregated_best_20_ep,20,ep,plane,11592.043952496666,0.18915817660286893,0.18915817660286893,0.18915817660286915,1.7081391455708075,0.111957362576526
aggregated,aggregated_best_20_ep,20,ep,z,11592.043952496666,0.18915817660286893,0.18915817660286893,0.18915817660286915,1.7081391455708075,0.111957362576526
aggregated,aggregated_initial_20_ep,20,ep,bird,95779.19072786186,-0.5269651042404235,-0.5269651042404235,-0.5269651042404235,1.1744002647524714,-0.0939108147227411
aggregated,aggregated_initial_20_ep,20,ep,peak,57586.78913759953,-0.3812969910165507,-0.3812969910165507,-0.3812969910165508,2.0992260341263944,0.18096362352623863
aggregated,aggregated_initial_20_ep,20,ep,plane,26278.907308649246,-0.2348912821881214,-0.2348912821881214,-0.2348912821881214,0.21887534072327686,-0.6240066590643645
aggregated,aggregated_initial_20_ep,20,ep,z,26278.907308649246,-0.2348912821881214,-0.2348912821881214,-0.2348912821881214,0.21887534072327686,-0.6240066590643645
aggregated,aggregated_best_50_ep,50,ep,bird,9162.792160333871,0.13151894759163962,0.13151894759163962,0.13151894759163985,6.554836466755819,1.3898437823264347
aggregated,aggregated_best_50_ep,50,ep,peak,4907.896100426886,0.49089744392763657,0.49089744392763657,0.4908974439276359,8.376716523897212,1.8500829025198726
aggregated,aggregated_best_50_ep,50,ep,plane,538.0383998388587,2.5800687980141026,2.5800687980141026,2.5800687980141013,5.955434469704812,1.4136264626837014
aggregated,aggregated_best_50_ep,50,ep,z,538.0383998388587,2.5800687980141026,2.5800687980141026,2.5800687980141013,5.955434469704812,1.4136264626837014
aggregated,aggregated_initial_50_ep,50,ep,bird,5680.317756012348,1.043214484166922,1.043214484166922,1.0432144841669224,11.124142463160334,1.7136740063726132
aggregated,aggregated_initial_50_ep,50,ep,peak,3582.466139528048,0.45995765990937754,0.45995765990937754,0.4599576599093784,10.970877114353948,1.535834807342081
aggregated,aggregated_initial_50_ep,50,ep,plane,9172.22452826299,-0.279857424153763,-0.279857424153763,-0.2798574241537629,-0.5893329012337039,-0.9055562715981941
aggregated,aggregated_initial_50_ep,50,ep,z,9172.22452826299,-0.279857424153763,-0.279857424153763,-0.2798574241537629,-0.5893329012337039,-0.9055562715981941
meuse,meuse_best_5_ep,5,ep,z,60441.98261183223,-0.7615337196297441,-0.7615337196297441,-0.7615337196297441,-0.21926235034979014,-0.3668565402985625
meuse,meuse_initial_5_ep,5,ep,z,54319.560103552896,-0.6921937518587917,-0.6921937518587917,-0.6921937518587917,-0.10872223740547082,-0.316668958827942
meuse,meuse_best_5_up,5,up,z,14003.850619417955,8.514480738125547,-0.8003591073719246,0.452526943129415,-0.2998360206367109,-0.5165265825537295
meuse,meuse_initial_5_up,5,up,z,10462.44942565605,6.668574475788718,-0.690173001235247,0.388289893357318,0.0048576121332286615,-0.22645601347508926
meuse,meuse_best_10_ep,10,ep,z,23756.039999999997,-0.6900473012472863,-0.6900473012472863,-0.6900473012472863,0.4413181243854196,-0.24349010947390382
meuse,meuse_initial_10_ep,10,ep,z,31012.364999999998,-0.7931998851051415,-0.7931998851051415,-0.7931998851051415,0.08017571176851579,-0.43663303843136014
meuse,meuse_best_10_up,10,up,z,6561.174380841727,5.0259395431463645,-0.7413429228580731,0.08067689736117778,0.06905493560694298,-0.5013679606319494
meuse,meuse_initial_10_up,10,up,z,4780.401306970731,5.415458050930701,-0.5801838489469531,0.3923663358927132,0.537333549234662,-0.29186628232682765
meuse,meuse_best_20_ep,20,ep,z,11087.379438978296,-0.6245603833082349,-0.6245603833082349,-0.6245603833082349,0.4995647353427437,-0.35778560775824664
meuse,meuse_initial_20_ep,20,ep,z,9262.648749999997,-0.5710252818237576,-0.5710252818237576,-0.5710252818237576,0.8263106608847988,-0.18529380390969596
meuse,meuse_best_20_up,20,up,z,2187.4232930875633,4.749026947399218,-0.6757726481625563,0.1746183893485802,0.5899320631508127,-0.42791632457694195
meuse,meuse_initial_20_up,20,up,z,3358.1447160666103,3.841475237974417,-0.7903211035881919,-0.15581825364728452,0.04354395813202405,-0.6651899964472929
regular,regular_best_20_ep,20,ep,bird,36627.95952455807,-0.05773281527577845,-0.05773281527577845,-0.05773281527577845,4.32441343780288,1.8941149190664959
regular,regular_best_20_ep,20,ep,peak,8370.546348777345,3.5147242427076204,3.5147242427076204,3.5147242427076204,22.346910897106135,14.38163045194847
regular,regular_best_20_ep,20,ep,plane,22910.68073108713,0.5547945728417065,0.5547945728417065,0.5547945728417065,0.705121070853592,-0.05147942881348999
regular,regular_best_20_ep,20,ep,z,22910.68073108713,0.5547945728417065,0.5547945728417065,0.5547945728417065,0.705121070853592,-0.05147942881348999
