Method,D,V,M,L,HT
Nmcs,-0.570478709565692,0.06355931112525769,-0.050589812803645204,0.4806837653951345,30.046797416984056
Nmcs,-0.23981146051552282,0.2498037892150955,-0.055949282056478755,0.39367913069511024,52.1899105784831
Nmcs,0.20954692084447735,0.028667498598512132,-0.12996879921562474,0.3059060139792851,38.764617360138736
Nmcs,-0.4174715890733641,0.09033929592737423,-0.1057408108411956,0.49782204447819606,27.64325297044849
Nmcs,0.24138206910925522,0.06972818397192394,-0.2537357491605888,1.2011889365297073,91.95121882518146
Nmcs,0.15309989307672378,0.09240766282056637,-0.10837919826804206,1.2049543646456362,88.2308853285657
Nmcs,-0.23952329778815368,0.187564758983052,-0.1639818981675589,0.4891984039422403,33.05257223468598
Nmcs,0.27214743356190196,0.08838138157326947,-0.2539412225716781,1.1881787444252898,90.95121780105288
Nmcs,0.05087300930806009,0.20662875967840036,-0.13443991092329846,0.40323109920283867,40.25933233471915
Nmcs,-0.26148960541541616,0.10218887865168672,-0.41360312044883596,0.36379910801885007,33.814741942181634
Nmcs,-0.16408185043401596,0.2753982285976536,-0.19973777403143989,0.8082232593589884,39.62875605720946
Nmcs,-0.1718493844652409,0.1583243449109601,-0.21577897227941237,0.38218698045799326,59.19182139166334
Nmcs,0.15824033227569448,0.08277074618418065,-0.27005734529972913,0.44032213998004804,26.845657022352015
Nmcs,-0.43175662596207387,0.2092643647147498,-0.270742408752866,0.3558267242579758,61.13826169239712
Nmcs,-0.37760330363902983,0.09392472755260457,-0.11113100924992779,0.4664726015296093,24.936407395559755
Nmcs,0.17363212445982337,0.020181547302984222,-0.13760697944804945,0.2788105448524203,34.27136351374131
Nmcs,-0.27010661804779984,0.1520139608409093,-0.23207047490612995,0.20853666759191067,47.61686705879829
Nmcs,0.21149228880621496,0.11055425980131058,-0.1050623264285201,1.3249272851741818,92.06325395201584
Nmcs,0.06241074139211415,0.05478138536594655,-0.34318243266110604,0.3932292730555542,34.705040048472725
Nmcs,0.15824033227569448,0.08277074618418065,-0.27005734529972913,0.44032213998004804,26.845657022352015
Nmcs,-0.499160948568938,0.08232075947374166,-0.03832206631252991,0.5112831891327008,32.841519790262986
Nmcs,0.06241074139211415,0.05478138536594655,-0.34318243266110604,0.3932292730555542,34.705040048472725
Nmcs,-0.20370614455023459,0.2602049578980491,-0.2679155106542819,6.939972100784501,266.5584034863989
Nmcs,-0.04701558353345002,0.3110209696396084,-0.12797826802592852,0.7190938415877544,75.51487983644324
Nmcs,-0.23981146051552282,0.2498037892150955,-0.055949282056478755,0.39367913069511024,52.1899105784831
Nmcs,0.06241074139211415,0.05478138536594655,-0.34318243266110604,0.3932292730555542,34.705040048472725
Nmcs,-0.570478709565692,0.06355931112525769,-0.050589812803645204,0.4806837653951345,30.046797416984056
Nmcs,-0.499160948568938,0.08232075947374166,-0.03832206631252991,0.5112831891327008,32.841519790262986
Nmcs,0.20954692084447735,0.09469442387121006,-0.05109675407161321,0.4524201731885616,32.67633785566741
Nmcs,0.07803227315789456,0.10167163450215078,-0.28996105465042493,0.37196642655160017,31.56449173791633
Nmcs,0.07038734561883678,0.2629858806767304,-0.29763221219108715,2.128433505011949,62.989536175984135
Nmcs,0.20954692084447735,0.09469442387121006,-0.05109675407161321,0.4524201731885616,32.67633785566741
Nmcs,0.15391939653116912,0.15350415028288017,-0.24019052139299715,0.5005851427235213,27.841674528404326
Nmcs,-0.07178468975677677,0.12372380109530715,-0.38018353635103247,0.34081245792149895,35.87743129431864
Nmcs,-0.2763332867139311,0.28999806456538113,-0.26476140679843274,0.4950997298189461,51.88486002171497
Nmcs,-0.27010661804779984,0.1520139608409093,-0.23207047490612995,0.20853666759191067,47.61686705879829
Nmcs,0.23918383895493955,0.13154632827453552,-0.32973992592931917,0.3114369551280884,36.5244671297633
Nmcs,0.15824033227569448,0.08277074618418065,-0.27005734529972913,0.44032213998004804,26.845657022352015
Nmcs,-0.24201211004569012,0.20520942232454975,-0.0602039623922664,0.48303840222425076,28.407069738218667
Nmcs,0.05776736800274648,0.0683544775769332,-0.08242232644220682,0.4055501308457672,32.86605282042136
Nmcs,0.18770792516270632,0.13101903269545828,-0.1161870464442096,0.5105036593166629,28.244087777939995
Nmcs,-0.16408185043401596,0.2753982285976536,-0.19973777403143989,0.8082232593589884,39.62875605720946
Nmcs,0.06827597199197702,0.21280941479300802,0.05837522899696445,0.5908285604345539,29.86873065247304
Nmcs,-0.0836646286301983,0.13957190278517653,-0.1581713697429619,0.3608786692603935,56.210743625789775
Nmcs,0.1249480571362607,0.1374995656712065,-0.02673419254187956,0.5460903639516484,31.423311050165413
Nmcs,0.15824033227569448,0.08277074618418065,-0.27005734529972913,0.44032213998004804,26.845657022352015
Nmcs,0.23918383895493955,0.13154632827453552,-0.32973992592931917,0.3114369551280884,36.5244671297633
Nmcs,-0.499160948568938,0.08232075947374166,-0.03832206631252991,0.5112831891327008,32.841519790262986
Nmcs,0.1249480571362607,0.1374995656712065,-0.02673419254187956,0.5460903639516484,31.423311050165413
Nmcs,-0.27010661804779984,0.1520139608409093,-0.23207047490612995,0.20853666759191067,47.61686705879829
Nmcs,-0.16565411332804464,0.03427752022499391,-0.14161708261444955,0.37170510921208383,37.97786480115631
Nmcs,0.17207988760448806,0.12770933925308736,-0.03540367409794908,0.5130278168821856,30.3304632876154
Nmcs,-0.499160948568938,0.08232075947374166,-0.03832206631252991,0.5112831891327008,32.841519790262986
Nmcs,-0.16565411332804464,0.03427752022499391,-0.14161708261444955,0.37170510921208383,37.97786480115631
Nmcs,-0.499160948568938,0.08232075947374166,-0.03832206631252991,0.5112831891327008,32.841519790262986
Nmcs,-0.261787385374251,0.11412172306719481,-0.09441835822212462,0.23494300636907414,53.86353077686444
Nmcs,0.2827376982947997,0.09469442387121006,-0.0270881143567327,0.4322571310431388,30.768154918355563
Nmcs,0.041648240955310535,0.04958928443464666,-0.08995549421371021,0.41728682121660915,32.108798351366225
Nmcs,-0.5344386851113117,0.10661213918923676,-0.13636604526418736,0.5149475498752303,33.91022287856313
Nmcs,-0.13713816647679927,0.266907570881715,-0.25880305985575675,0.6131573095564088,46.57353038513201
Nmcs,-0.3029538944772862,0.15271004216279593,-0.04632299954405907,0.4617090033021052,25.539596965721017
Nmcs,0.15391939653116912,0.15350415028288017,-0.24019052139299715,0.5005851427235213,27.841674528404326
Nmcs,-0.0836646286301983,0.13957190278517653,-0.1581713697429619,0.3608786692603935,56.210743625789775
Nmcs,-0.16408185043401596,0.2753982285976536,-0.19973777403143989,0.8082232593589884,39.62875605720946
Nmcs,-0.22242481605434847,0.41380466930748694,0.05556746918464201,1.3527313852018628,96.9745672851754
Nmcs,0.1355097517690262,0.37103398514475433,0.006450190288103255,1.7970290829394318,79.57567928698347
Nmcs,0.1249480571362607,0.1374995656712065,-0.02673419254187956,0.5460903639516484,31.423311050165413
Nmcs,0.15824033227569448,0.08277074618418065,-0.27005734529972913,0.44032213998004804,26.845657022352015
Nmcs,-0.22420664045850766,0.2710991931585258,-0.130082454953809,0.4934669604494853,50.95303027561634
Nmcs,0.15309989307672378,0.09240766282056637,-0.10837919826804206,1.2049543646456362,88.2308853285657
Nmcs,-0.570478709565692,0.06355931112525769,-0.050589812803645204,0.4806837653951345,30.046797416984056
Nmcs,-0.2563102159237933,0.2859650481348199,-0.1610422965608176,0.651308001787898,43.573969438373446
Nmcs,-0.1718493844652409,0.1583243449109601,-0.21577897227941237,0.38218698045799326,59.19182139166334
Nmcs,0.27214743356190196,0.08838138157326947,-0.2539412225716781,1.1881787444252898,90.95121780105288
Nmcs,-0.2977593017466359,0.17864918266813393,-0.3424190544646671,1.2197417622172784,88.75850921894961
Nmcs,-0.570478709565692,0.06355931112525769,-0.050589812803645204,0.4806837653951345,30.046797416984056
Nmcs,-0.499160948568938,0.08232075947374166,-0.03832206631252991,0.5112831891327008,32.841519790262986
Nmcs,0.1249480571362607,0.1374995656712065,-0.02673419254187956,0.5460903639516484,31.423311050165413
Nmcs,0.18770792516270632,0.13101903269545828,-0.1161870464442096,0.5105036593166629,28.244087777939995
Nmcs,-0.047515479207247566,0.36166513622193563,0.004491383068070867,1.5824300211237778,90.83125906996813
Nmcs,0.20954692084447735,0.09469442387121006,-0.05109675407161321,0.4524201731885616,32.67633785566741
