Method,N,n,ite,rho,HTm,HTv,Eff,RB,Dm,Ds,Vm,Vs,Mm,Ms,Lm,Ls
Lopi,100,5,5000,0.8999999999999994,213.00320501152106,1416.8964493517542,1.365917837066984,-0.0012299513598629927,-0.2036904641727737,0.3333202768101825,0.13546420237638193,0.08920451964219385,-0.18536764896837488,0.1119672111102525,0.5589996837076087,0.861386503593613
Maxe,100,5,5000,0.8999999999999994,213.5553627051286,1882.5494214625253,1.0280548873680466,0.001359110933690761,-0.39779009864308734,0.3566434800770728,0.3714879723510758,0.3050585422703556,-0.027251655785317002,0.14260700063012627,0.7112521390642407,0.9135354844618883
Rand,100,5,5000,0.8999999999999994,213.7896851366003,1935.3641334464376,1.0,0.0024578466370610585,-0.3061590104020164,0.3190739252401197,0.7430365554346683,0.5403666779206884,-0.06899815860059337,0.12052090158845746,2.724012805844668,3.9160698075915543
Scps,100,5,5000,0.8999999999999994,213.14678145244392,1514.7849387678232,1.2776494431088863,-0.0005567227627799433,-0.18494228736434065,0.32603710016584064,0.12582411179465433,0.08112231479412657,-0.2081068404618287,0.10453572594300939,0.5493629303990941,0.8900763208706554
Wave,100,5,5000,0.8999999999999994,213.26250788608183,1396.1889178668348,1.3861764039807598,-1.4082591017080499e-05,-0.17020976618831918,0.32539556139357606,0.12558308976446583,0.07782824268804546,-0.2822476238941723,0.10197625203853253,0.5289674409815197,0.7312485395821379
