Method,N,n,ite,rho,HTm,HTv,Eff,RB,Dm,Ds,Vm,Vs,Mm,Ms,Lm,Ls
Lopi,100,10,5000,0.9000000000000002,218.82511210676705,7423.964221020105,0.12054681248199693,0.005052790818602927,-0.0840085974761856,0.22678554479355736,0.1042507929058429,0.0497328615519197,-0.20105479982884172,0.10083389333414246,0.5848831828864799,3.7076100000923953
Maxe,100,10,5000,0.9000000000000002,217.28083715846515,3470.631035432165,0.25785951133607815,-0.002039986749927725,-0.24234155620304218,0.2819503180788489,0.2735660679255968,0.17059812474527222,0.03189496344825464,0.15421615066852967,0.5907271284922769,1.0180852218273717
Rand,100,10,5000,0.9000000000000002,217.8482078846882,894.9352228243649,1.0,0.0005659186067711893,-0.062343913917385814,0.31825665142532217,0.6722384145294766,0.38981241575195796,-0.03978682525447775,0.12233841401482198,29.195523555967334,74.03572423415191
Scps,100,10,5000,0.9000000000000002,218.3774373663327,3497.4862191833304,0.25587955655571787,0.0029966431355481814,-0.07049318262045978,0.22157948483252127,0.09279969712047155,0.04498390731085242,-0.2524146675189471,0.0878823260916497,0.5336862174575964,1.0291211437263583
Wave,100,10,5000,0.9000000000000002,217.57582006428134,7170.771503618313,0.12480319898253457,-0.0006851450232172249,-0.06677245066303317,0.19908614478306502,0.07980136295149412,0.03733677520128263,-0.3439802337857882,0.07249650614973839,0.5473197930722088,3.6887769170721385
