Method,Dm,Ds,Vm,Vs,Mm,Ms,Lm,Ls,HTm,HTv,RB,Eff,rho
Lopi,-0.055478582271668735,0.2950140893186638,0.13666116511290768,0.09056408386528192,-0.1839600063897485,0.11231083764233345,0.5537445164649625,0.8486784517465579,213.35693705993452,1495.3759448699384,0.00042869492755028774,1.2917519143152598,0.8999999999999994
Nmcs,-0.053775875539013474,0.29565555053455117,0.16819860273594073,0.09819856780278993,-0.1682200019972583,0.11079141636980948,0.5924864594595606,0.8506221472214057,213.49084104524803,1856.0430131323944,0.0010565694701772303,1.040738132542915,0.8999999999999994
Rand,-0.2821796459944804,0.3137795797458002,0.7377473532758996,0.5311136514829968,-0.07036331898689016,0.12274423685019191,2.754734681111289,3.9900744505570755,213.9479771708958,1931.6547394067334,0.0032000765147012127,1.0,0.8999999999999994
Scps,-0.03886684775576587,0.2977808303161177,0.12663318259871112,0.08312590916506987,-0.2055516159493514,0.10438522576685172,0.5427037453373121,0.8297029397543567,213.32762042865204,1405.4584272245518,0.00029122951593646955,1.3743947896212731,0.8999999999999994
