Method,D,V,M,L,HT
Nmcs,-0.2126458368456906,0.02872049710727459,-0.41966797488351304,0.27830443158718193,38.66723411354468
Nmcs,0.06815595247404818,0.1354245301582054,-0.34396696156719286,0.2544398667054035,59.36680900467267
Nmcs,0.14516773136378106,0.1135062239652949,-0.03720204926898638,0.47068877574366075,30.719771493897674
Nmcs,-0.0795036355727918,0.148323606739335,-0.3274830616202575,0.39815834409762974,49.3213024906171
Nmcs,-0.5673179141783041,0.06360461183883429,-0.31314758747817084,0.4754171901582706,33.61035149757748
Nmcs,-0.3785817350878177,0.05062526683851963,-0.15425743354192942,0.4337763903296337,36.06438940855135
Nmcs,-0.22829281386516942,0.32952852034293434,-0.2681220449866245,1.595549490667232,110.02711039814054
Nmcs,0.31551667241595793,0.37565942922414053,-0.09435190109963223,1.7724998286206761,99.36784029629106
Nmcs,0.05089377126577114,0.12957360792718686,-0.30329093242487454,2.0916769978534457,83.13657748741417
Nmcs,-0.20671745656677024,0.14513044531585959,-0.1610262063094285,0.24173443310084147,52.34982897704322
Nmcs,0.18838793681810623,0.09134634958167852,-0.025767011323529772,0.44409723936986206,32.602869400667714
Nmcs,0.1716503579098597,0.04533800323043273,-0.03781178860396209,0.41527511964793146,34.35405692218141
Nmcs,-0.23226517896083093,0.13436167555227696,-0.06988738214374061,0.5238689256954696,40.80199613010632
Nmcs,-0.26184425390330773,0.24907062698780366,-0.3545024088085581,0.5384789567638436,69.40202493594293
Nmcs,-0.25606652191388474,0.06977576753069145,-0.2556026598309007,0.20140438708193562,47.86473989294237
Nmcs,-0.07998081606673607,0.22861206833594405,0.02928460859046395,0.6171092669999232,67.61755859172959
Nmcs,-0.14433320857438325,0.21505981123039,0.014492333873446098,0.47827565988840587,50.33940866256165
Nmcs,-0.5673179141783041,0.06360461183883429,-0.31314758747817084,0.4754171901582706,33.61035149757748
Nmcs,-0.6203778742103009,0.19151097683750826,-0.1510551083381828,0.5262098234366716,44.79669800327833
Nmcs,-0.0795036355727918,0.148323606739335,-0.3274830616202575,0.39815834409762974,49.3213024906171
Nmcs,-0.45201053293323645,0.0666228398644609,-0.09734455186236236,0.2632740477608424,53.32061676481096
Nmcs,-0.4909652265119492,0.08639491774882313,-0.21799218353362784,0.48610186854076215,37.57633707888624
Nmcs,0.1970029669794103,0.08987105546472222,-0.032616121074738234,0.42692891085850715,33.70522071914134
Nmcs,0.48126301730337107,0.5227549946497769,-0.16979603033643095,3.9845879209895783,169.8546051232922
Nmcs,0.11283769711572018,0.01998716806331684,-0.08535369701955949,0.34626112160017053,37.49623622297527
Nmcs,-0.3878608732726786,0.08866904368240998,-0.36139595148521547,0.4929080826056856,30.897294646692547
Nmcs,-0.25606652191388474,0.06977576753069145,-0.2556026598309007,0.20140438708193562,47.86473989294237
Nmcs,-0.15720520380578548,0.30963620217601695,0.004123166619826261,1.081241052320009,92.46437329952622
Nmcs,-0.5673179141783041,0.06360461183883429,-0.31314758747817084,0.4754171901582706,33.61035149757748
