z,x_for_pi,corr,n,N,PpiVincent_z_eff_vs_SRS,PpiVincent_y_eff_vs_SRS,PpiInternal_z_eff_vs_SRS,PpiInternal_y_eff_vs_SRS,ABC_z,ABC_y,Random_z,Random_y,ABC_best_source,Random_best_source,use_vincent_seed,vincent_seed_available,vincent_seed_roundtrip_error,vincent_seed_diag_error,ABC_z_over_PpiVincent_z,ABC_y_over_PpiVincent_y,Random_z_over_PpiVincent_z,Random_y_over_PpiVincent_y,ABC_z_over_PpiInternal_z,ABC_y_over_PpiInternal_y,Random_z_over_PpiInternal_z,Random_y_over_PpiInternal_y,same_pi_multiset_check,vincent_ppi_diag_error,internal_ppi_diag_error,ABC_valid_percent,Random_valid_percent,time_seconds,completed_iterations,stopped_early,stopped_by_time,abc_eval_count,random_eval_count
ME84,REV84,0.9859813861682624,5,30,25.894895231518184,14.990233928355167,3.4339116901348605,3.830535621933854,9.496695680433715,8.545232532034357,4.111686693796998,4.381873514662949,ABC_candidate,Random_candidate,True,False,,,0.36674006963637895,0.5700533142361708,0.15878367751773814,0.2923152190690168,2.7655619996624754,2.2308192314160697,1.1973769464163242,1.1439323236082455,True,7.453211194052844e-09,7.873701191041249e-09,99.28896238114923,99.9892703862661,187.80512762069702,300,False,False,12095,9320
S82,REV84,0.8065319432878071,5,30,0.3772174670621513,4.238212602398318,0.35354059992228576,3.830535621933854,0.3810363439180833,4.087700272785295,0.14518749705555328,3.5978276536058464,ABC_candidate,Random_candidate,True,False,,,1.0101238070592917,0.9644868382657701,0.38489070558238975,0.8489021177394238,1.0777725217467005,1.067135428627501,0.41066711174747106,0.9392492352778267,True,9.112539139932707e-09,7.873701191041249e-09,97.39976644608797,99.9892703862661,176.34628200531006,300,False,False,12845,9320
CS82,REV84,0.6649559374559463,5,30,2.1648725218855773,5.606150944765397,0.9365449223844249,3.830535621933854,1.7536335025001073,3.983109404825753,0.7524897877931065,3.6621167734595406,ABC_candidate,Random_candidate,True,False,,,0.8100400761577934,0.7104891473792517,0.34759080739668546,0.6532319249946258,1.872449960046114,1.039830926520629,0.803474312665411,0.9560325591256904,True,7.748833408260936e-09,7.873701191041249e-09,99.64254577157803,99.9892703862661,134.81136679649353,300,False,False,11470,9320
