Method,N,n,ite,rho,HTm,HTv,Eff,RB,Dm,Ds,Vm,Vs,Mm,Ms,Lm,Ls
Lopi,100,5,5000,0.9000000000000002,216.5729401403803,4835.200365843024,0.3894005146454028,-0.005291322333803537,-0.10874452144893446,0.27228626883859075,0.12110237908517757,0.07818683269649311,-0.18838385025612278,0.10521326537031367,0.665339143916203,1.306360730475481
Maxe,100,5,5000,0.9000000000000002,218.339948437007,25014.797694081564,0.07526862834946636,0.002824458358943424,-0.3057596599348515,0.3123641487040571,0.2655808213720791,0.20414988230289133,-0.029678648684797547,0.14465197628704635,0.8303918991651706,7.2877863013451485
Rand,100,5,5000,0.9000000000000002,218.00579284059708,1882.8295108729135,1.0,0.0012896984243725815,-0.1579125222640126,0.33189093298219,0.5335900044358862,0.35368210238723524,-0.06034713008313571,0.11749514713027782,30.344015880929124,108.86363932622636
Scps,100,5,5000,0.9000000000000002,217.55962693749163,6037.770485798173,0.3118418487919734,-0.0007595192443264676,-0.0928411709533582,0.26628003250639765,0.10989113377683365,0.07660606879396499,-0.22738784170661105,0.0924641680680349,0.6738288604711519,1.469093956703521
Wave,100,5,5000,0.9000000000000002,217.7806898505371,6054.409868368682,0.31098481137026635,0.000255811654233465,-0.05572334210195234,0.2400378606266078,0.10633467401319723,0.06795175248470715,-0.2960035647836322,0.09281772614061283,0.6889159636570654,1.50937318651882
