Method,N,n,ite,rho,HTm,HTv,Eff,RB,Dm,Ds,Vm,Vs,Mm,Ms,Lm,Ls
Lopi,100,10,5000,0.8999999999999994,213.39945173561793,695.9215524229543,1.3448849643053673,0.0006280458466969693,-0.10051989113223532,0.1911648234802071,0.19262829715166724,0.07181909351821147,-0.17733681500948875,0.09724230026701136,0.43612567392968965,0.5356550239784533
Maxe,100,10,5000,0.8999999999999994,213.31336790775777,837.9756811437278,1.1168992767334869,0.00022439957792662143,-0.253532334364329,0.31104339372535605,0.40960823074938263,0.22765996842049235,0.03530596219487835,0.14588883081566703,0.5337250489925286,0.542265673720343
Rand,100,10,5000,0.8999999999999994,213.81209101675455,935.9344321896806,1.0,0.0025629076008633522,-0.1924361707112883,0.2661983250078902,0.9146421629878055,0.6511080407266165,-0.047350408485616634,0.12633416856123958,2.405746990575351,2.555778117681715
Scps,100,10,5000,0.8999999999999994,213.6590022570622,667.8252867388138,1.401465998330375,0.0018450758294780141,-0.09313164695050175,0.18874139200614848,0.18764918307826417,0.07024046622683262,-0.20824900451171202,0.0915939478845312,0.42245040913714177,0.5271422139383605
Wave,100,10,5000,0.8999999999999994,213.281035238684,676.0796528017839,1.384355272801091,7.279199314069693e-05,-0.0995716759355608,0.17384496452730105,0.18555706122703014,0.06666032714576911,-0.32068020623838417,0.07087143532206476,0.44017557396578894,0.6184965905582961
