Method,N,n,ite,rho,HTm,HTv,Eff,RB,Dm,Ds,Vm,Vs,Mm,Ms,Lm,Ls
Lopi,144,16,5000,0.0157187026637733,275.591158970453,21563.626321812884,0.05225275741179805,0.014851954842409216,0.020872632902896506,0.15347516067147818,0.11809357520508539,0.04117143669100806,-0.26597340334860353,0.07639647519114214,0.5345483460998972,0.7013776833666499
Maxe,144,16,5000,0.0157187026637733,269.0351688048872,99274.01413965107,0.011349988663975184,-0.009290181865849394,-0.1421325165935097,0.2573452304853479,0.3146435995831272,0.14111812211438515,-0.016655345113955947,0.10591692016974022,0.5529583654132019,1.5255936597126831
Rand,144,16,5000,0.0157187026637733,271.7317594256708,1126.7589351123518,1.0,0.0006398909025785114,-0.1854487735890895,0.24122962582073798,0.3569084007967313,0.1553222892650501,-0.019580988105175074,0.099659100685179,21.83343461552202,35.91039930490447
Scps,144,16,5000,0.0157187026637733,267.71527642041355,19643.65801146971,0.057359934410100705,-0.01415062576241244,0.026074343734708624,0.14371582974479757,0.10706569055463701,0.03834142421698736,-0.30861686380191033,0.06999344279864578,0.5090554125820519,1.2393561756286395
Wave,144,16,5000,0.0157187026637733,267.7664578681572,17649.627536324515,0.06384038035892717,-0.013962152400319262,0.010894605162995391,0.1297414997747608,0.10083387816113555,0.033476120246196034,-0.4138370238317437,0.056192177893728795,0.5202744273952603,1.622688840431913
