Method,N,n,ite,rho,HTm,HTv,Eff,RB,Dm,Ds,Vm,Vs,Mm,Ms,Lm,Ls
Lopi,155,20,5000,0.9254498720251498,503.8616510818318,1985.6739982651757,6.286566059853306,0.0015139158851755412,0.04496715490338142,0.05975524538965697,0.12089643265310031,0.03917109326236521,-0.2396628258439353,0.07571192474303833,0.2069965414103804,0.048618480404138
Maxe,155,20,5000,0.9254498720251498,503.875074075088,2577.5379591896954,4.8430211159145795,0.0015405964521725585,0.0155379095547105,0.1620847675748249,0.3750332693205309,0.17131686665500503,0.028378448995826186,0.11013109718866143,0.2823041149048598,0.06085690969410695
Rand,155,20,5000,0.9254498720251498,504.369225,12483.070763427066,1.0,0.002522808586762087,-0.010340004505738711,0.16372967973284705,0.495871670220956,0.20353949158189338,-0.02274044585904817,0.10323924507944933,0.3311524751428839,0.06486446317616328
Scps,155,20,5000,0.9254498720251498,503.62510429882036,1976.7076542206116,6.315081917537759,0.0010437374256020572,0.0450888830874802,0.05695541858699691,0.11771185132620099,0.03880577344347002,-0.26773875160510696,0.07252947509023273,0.20338838361245576,0.047778826881095186
Wave,155,20,5000,0.9254498720251498,503.7227824067443,1729.5367635448522,7.217580468102805,0.0012378898961325914,0.04073390747630268,0.06345878449809184,0.1092286923116852,0.033481802419462435,-0.3751588180795747,0.058922947246036056,0.19446005577633832,0.047629969834750964
NMS, 155, 20, 5000, 0, 503.09999999999997, 3358.1447142585153, 3.8435649217268453, 0, 0.04538334735906322, 0.025129906606173303, 0.07610542105731485, 0.029340057951721867, -0.3409443351816528, 0.06340201287637381, 0.18466102717359617, 0.05156707631111345
GRZ,155.0, 20.0, 5000.0, 0.0, 503.09999999999997, 2187.4235398111823, 5.900662121849799, 0.0, 0.040832679473039674, 0.04500875434629094, 0.08653188129930753, 0.021185410773838703, -0.39293055652442893, 0.05752462492851097, 0.19332815506831733, 0.049667440933842434
