Method,N,n,ite,rho,HTm,HTv,Eff,RB,Dm,Ds,Vm,Vs,Mm,Ms,Lm,Ls
Lopi,100,20,5000,0.8999999999999994,213.18230194621012,307.0401067757109,1.2736066254344431,-0.00039016749763888666,-0.06543079406723659,0.12251222915945853,0.170743482243696,0.057387770177364045,-0.17974576299582107,0.08815431432836948,0.308741666683732,0.37926234855575336
Maxe,100,20,5000,0.8999999999999994,213.22444964539542,409.0258677429705,0.9560478813270968,-0.00019253732788110324,-0.1673513609605568,0.24659493337741392,0.40848101335023146,0.16700632336454782,0.11366760229995913,0.14240620957872704,0.4094853671440421,0.35669796895145695
Rand,100,20,5000,0.8999999999999994,213.22821156493217,391.0483142636443,1.0,-0.0001748977221367225,-0.13516137200228728,0.22386311162070438,0.9426542785322557,0.4863436224695262,-0.027362520120113278,0.1221582967056058,1.9938285763128933,1.4841088606579202
Scps,100,20,5000,0.8999999999999994,213.11464779225554,299.39375310466625,1.3061338461759293,-0.000707397196751942,-0.06420019989940465,0.11527543694125379,0.16912419273199986,0.05414176699487013,-0.2011925840657735,0.08696618660884063,0.301433831639486,0.38920025198148395
Wave,100,20,5000,0.8999999999999994,213.28331901847426,315.1830844244994,1.2407020985205126,8.350061535163896e-05,-0.07226440150640889,0.1213148067951446,0.1681295504278976,0.05167710751862142,-0.36739713543542446,0.056315076187928734,0.298355629164671,0.37503378144412736
