Method,N,n,ite,rho,HTm,HTv,Eff,RB,Dm,Ds,Vm,Vs,Mm,Ms,Lm,Ls
Lopi,100,16,5000,0.8999999999999999,213.39200118978513,416.8222583242244,1.2835747537352304,0.000593110306532609,-0.08398317325040566,0.14776681800608485,0.18484841791408188,0.06305914156783475,-0.17279590673709416,0.08744260992558209,0.349207938769757,0.4337320643071966
Maxe,100,16,5000,0.8999999999999999,213.18073296698816,516.3513647276501,1.0361598014988822,-0.0003975244266285004,-0.19276728196597798,0.2689050467707457,0.41595978964122443,0.18355942725945912,0.08533152815296868,0.13968203982969413,0.45753161651267793,0.4667873537747203
Rand,100,16,5000,0.8999999999999999,213.2334190449406,535.0225275798789,1.0,-0.0001504798967756543,-0.17478136795695454,0.24276146695483747,0.9521044566688004,0.5469605917334781,-0.03237628301604478,0.12151884127428697,2.1497334567021738,1.799629363436753
Scps,100,16,5000,0.8999999999999999,213.05889089031842,393.5939365624876,1.3593261427058032,-0.0009688407917285734,-0.08138921943105462,0.14359996663350383,0.18292938963902902,0.061656571485888545,-0.20017317742036284,0.08543298650800375,0.3420852508522751,0.44655400581491284
Wave,100,16,5000,0.8999999999999999,213.51991326362594,390.3709388266401,1.3705490710656543,0.001192888831953062,-0.08487437516881911,0.14104997876837283,0.19537074582847044,0.0592643867335854,-0.34630143834326116,0.053924392623877486,0.3347442943419419,0.4034576402603676
