Method,N,n,ite,rho,HTm,HTv,Eff,RB,Dm,Ds,Vm,Vs,Mm,Ms,Lm,Ls
Lopi,144,4,5000,0.005800420840581259,303.99750126375335,42999.12922598449,0.11686165912879104,-0.0233400231775227,0.05596448858848541,0.2757508816568,0.1485098423634399,0.08207355061721634,-0.213899813433494,0.10172676717430885,0.6620609597598613,0.8015917749723507
Maxe,144,4,5000,0.005800420840581259,316.99668695925465,48346.82029100902,0.10393547191305812,0.018422768777350308,-0.20622834885977095,0.3554763929435701,0.29690599199182366,0.20362154490227422,-0.07149980952642851,0.11399216498284453,0.796698269921326,0.7585650585130937
Rand,144,4,5000,0.005800420840581259,311.82908599735725,5024.949582441836,1.0,0.0018206946988016622,-0.21546091123601996,0.3512982682694566,0.2973038201168614,0.2198332185940976,-0.06407087853266918,0.10265581764186564,2.4814772468493476,3.370988717100836
Scps,144,4,5000,0.005800420840581259,311.7977910150804,35614.50906908049,0.14109276566735987,0.0017201525675732637,0.06571661930628625,0.2699650904778002,0.14050143559227626,0.0772592197252517,-0.22638177786776892,0.0971548003262492,0.6760840850416787,0.8135518224234382
Wave,144,4,5000,0.005800420840581259,308.65221531417075,38263.74716962088,0.13132403264548395,-0.008385713034520355,0.06925902513003833,0.2574235746868098,0.14726846017562661,0.08182171806512287,-0.3038408969397785,0.13497685219476196,0.6480470745695684,0.7533387132374483
