Method,N,n,ite,rho,HTm,HTv,Eff,RB,Dm,Ds,Vm,Vs,Mm,Ms,Lm,Ls
Lopi,100,8,5000,0.9000000000000001,211.90543625064478,2061.2308978902583,0.5749757734672698,0.004589447736012237,-0.1257315558490258,0.23327124237001826,0.10689700943137673,0.05825503308299852,-0.2192056507422414,0.10234308449030761,0.542561422875067,1.4786353356074529
Maxe,100,8,5000,0.9000000000000001,210.94700678396933,1305.4734125370164,0.907837584762364,4.5778891752061714e-05,-0.27562979196380083,0.2937580544610574,0.2879049974128461,0.18684194367474333,-0.00421938823823301,0.14303623991788306,0.5986621256472943,1.1200364998277847
Rand,100,8,5000,0.9000000000000001,210.86522035110193,1185.1578298090863,1.0,-0.0003419496577381981,-0.0779134036116319,0.333257623748035,0.582652863473457,0.3654966720317455,-0.04469368500154778,0.12135656061011997,5.8631340472117905,13.244223064479781
Scps,100,8,5000,0.9000000000000001,210.20397935047228,443.55316712073017,2.6719634029498422,-0.0034767240334990335,-0.1090379199346428,0.23446652851605937,0.09739283907943401,0.05446669602632684,-0.26931537582674564,0.08644238687492438,0.5006296924583779,0.5768197791447015
Wave,100,8,5000,0.9000000000000001,212.31169770696283,3559.394765165736,0.3329661102521462,0.00651542934016627,-0.10194776415564523,0.2105564688600832,0.0928075586282587,0.05337260093442428,-0.3524567532980666,0.0799365466405568,0.5682784782592533,2.0239035716936447
