Method,N,n,ite,rho,HTm,HTv,Eff,RB,Dm,Ds,Vm,Vs,Mm,Ms,Lm,Ls
Lopi,959,100,5000,0.7497414788990187,10565.633714788355,196634.58702233812,12.370584560000085,0.00028437186461648714,0.0063320399571127756,0.04780032802555344,0.16440277104358036,0.02321924181578436,-0.1522872586124786,0.027448096233909987,0.1903227129057915,0.017968166584745156
Maxe,959,100,5000,0.7497414788990187,10558.503684878388,274072.7001101481,8.875326820960016,-0.0003906522449061943,0.00680440883876351,0.12911058897325203,0.41532990030202244,0.0786059879867031,0.022225021596252864,0.040696519640756205,0.2198979646482407,0.0236680902330802
Rand,959,100,5000,0.7497414788990187,10569.374108439999,2432484.786180529,1.0,0.0006384876153001614,-0.18761349337068872,0.08787992251806674,1.1098168322702193,0.36625590740755937,-0.0026601325902923497,0.03604573549994292,0.35059150074100726,0.028336370083768568
Scps,959,100,5000,0.7497414788990187,10579.275688319194,202560.41972513625,12.008687528794034,0.0015759037587412547,0.005799039716968467,0.04612595411574675,0.1668564797254063,0.023834046109893703,-0.15270638524818872,0.02815904537707964,0.19041676195544982,0.01791158604164634
