Method,N,n,ite,rho,HTm,HTv,Eff,RB,Dm,Ds,Vm,Vs,Mm,Ms,Lm,Ls
Wave,144,4,5000,-0.08557728542661804,309.8417388497878,46632.45132205746,0.11237970991856072,-0.007781048162684393,0.08184615714996636,0.2455101717301957,0.10431606060835297,0.06592248000409338,-0.24794700000931655,0.06209913248734742,0.6086273723372727,0.9156100971929655
Lopi,144,4,5000,-0.08557728542661804,312.76189403631264,177276.30425402065,0.02956143165560924,0.0015702849699399536,-0.004350358785363222,0.2779990695077303,0.11761832934671858,0.07880225363866913,-0.2071328067843017,0.06671728030592039,0.6326290608581098,1.8510022382043643
Scps,144,4,5000,-0.08557728542661804,310.29940927388503,95494.85630824433,0.05487773430904457,-0.0063154313281983425,0.013374633755447554,0.2792556513021965,0.10360199032432786,0.07219690885641142,-0.220395966440889,0.062079261518656226,0.6153155902564502,1.3306921145561486
Rand,144,4,5000,-0.08557728542661804,311.2052349453249,5240.541352364221,1.0,-0.003414668501343962,-0.29809396144221045,0.34308795868924474,0.24269599827584978,0.1972542914024074,-0.06081771980742403,0.0939654853643044,5.215872966881129,14.848725333929151
Maxe,144,4,5000,-0.08557728542661804,307.43555953147774,48223.23161821371,0.10867254591840525,-0.015486455219877874,-0.27823226385331506,0.34239591635719596,0.23562359745741443,0.192268991665131,-0.06611131096545732,0.1136321901108521,0.7119390597811999,0.8989993332122711
