Method,N,n,ite,rho,HTm,HTv,Eff,RB,Dm,Ds,Vm,Vs,Mm,Ms,Lm,Ls
Lopi,100,4,5000,0.8999999999999999,220.11242159222033,36057.56956715936,0.06819955906273639,0.010965338873740271,-0.06922754710240367,0.2786709980838486,0.12797517881644466,0.09507792525880535,-0.18578594212059965,0.10805340093039704,0.8770580088041361,9.097709077257708
Maxe,100,4,5000,0.8999999999999999,217.90218500142288,8985.826326849752,0.2736654655795384,0.0008138328031457533,-0.2674599481715527,0.3214762679367729,0.24412904413647174,0.19980911118774466,-0.04805729671936576,0.14001122582507122,0.8096336478694234,1.6924788149466479
Rand,100,4,5000,0.8999999999999999,217.33193702827572,2459.110345354211,1.0,-0.0018052876047102262,-0.15919537096151046,0.3474540684050864,0.4841493149511224,0.34662069323752304,-0.06786681579902236,0.11691285680602263,31.931388701700378,125.0099292305665
Scps,100,4,5000,0.8999999999999999,217.40744077789495,6315.073024604993,0.3894033110579949,-0.001458502660599008,-0.04662733481639279,0.27102535671074707,0.11737381973574723,0.08966635319249912,-0.21685816437272998,0.09748778516216267,0.7149452211893099,1.5056084127883418
Wave,100,4,5000,0.8999999999999999,215.98315959999192,5269.456254595824,0.46667250405759914,-0.008000154845670942,-0.01684527156265785,0.24136809631384815,0.12144637426703989,0.08617937618849704,-0.28523969692978307,0.09944965134378156,0.7233791867679563,1.5333486095646711
