Method,N,n,ite,rho,HTm,HTv,Eff,RB,Dm,Ds,Vm,Vs,Mm,Ms,Lm,Ls
Lopi,100,4,5000,0,218.31331327968283,1176.3019505090137,2.0675105905414752,0.0027021244140647245,-0.03562092025147519,0.28605336128747777,0.10788137333333347,0.07879178821568493,-0.2383021225819577,0.1114945695014885,0.3717670625812335,0.10210889592521719
Maxe,100,4,5000,0,218.61311642287444,2416.224187259221,1.0065360462725412,0.004079105249856099,-0.2966949561700552,0.3333967522218237,0.22968132888888917,0.18739279575322337,-0.08197387283838982,0.1297814372092476,0.4909772222298947,0.1485270207939433
Rand,100,4,5000,0,217.96255801529992,2432.0167403519804,1.0,0.0010911230350714384,-0.30882818781936705,0.3328332928940303,0.22462267777777806,0.18218541026533258,-0.08239785515948103,0.12990370660360873,0.4877321245468986,0.14850407301992982
Scps,100,4,5000,0,217.00263395482827,1048.8113850660698,2.3188313694733353,-0.0033177601441142924,-0.00017322909724460018,0.2657453621908772,0.09694672888888903,0.06989625182190048,-0.2840191916545211,0.0967401441513562,0.35628331723906875,0.10068432183674461
Wave,100,4,5000,0,217.65150060602076,953.1367333722732,2.5515927098385065,-0.0003375480817439259,0.06456295470213952,0.2285824033364177,0.1002220355555557,0.06702719730586917,-0.36934962615057415,0.11490348102120355,0.35175771708295167,0.09911032410158947
