Method,N,n,ite,rho,HTm,HTv,Eff,RB,Dm,Ds,Vm,Vs,Mm,Ms,Lm,Ls
Lopi,100,20,5000,0,217.57382808627972,118.4832353557317,3.4762170605655656,-0.0006942940785084993,0.14602861688175617,0.09800198349030109,0.09158904444444442,0.030002970417846674,-0.3676108531111568,0.08535686102927618,0.12580317090267112,0.02034947929041671
Maxe,100,20,5000,0,217.8424164411378,413.7405607453273,0.9954872285004784,0.0005393187963236326,0.04588993142396807,0.2270876513365322,0.2634848222222222,0.11631536865605989,-0.021566651489496387,0.1383942955261806,0.20495630977000837,0.04240858548869963
Rand,100,20,5000,0,217.74346608942997,411.8734441345997,1.0,8.48447819887896e-05,0.04746226998620732,0.22525068418905603,0.26478354444444446,0.12010174914818797,-0.02340073616741797,0.13572404045601852,0.20520005566678637,0.04290667086480573
Scps,100,20,5000,0,217.64168731657014,111.8105671407193,3.6836718985266925,-0.00038262002917491137,0.1438791847188101,0.08799296367862397,0.08374314444444443,0.026616440231495276,-0.44695290999387444,0.06447751532585852,0.12057051714143231,0.018830339874599332
Wave,100,20,5000,0,217.75143095542686,133.8594690586182,3.0769092917456353,0.0001214270129840932,0.13877089910811127,0.07071919013480843,0.06854414444444443,0.02015795785745048,-0.5998701144680262,0.0598550640582827,0.11311681044736524,0.016375075436810323
