Method,N,n,ite,rho,HTm,HTv,Eff,RB,Dm,Ds,Vm,Vs,Mm,Ms,Lm,Ls
Lopi,100,8,5000,0,213.13103651230088,349.2991087116825,3.2938322303541803,-0.0006305506407766453,-0.040707831857001484,0.1716673485701134,0.16128160000000008,0.06421562793288062,-0.3091519878339527,0.09940561911255222,0.25306342313416297,0.04868881133578344
Maxe,100,8,5000,0,213.3114852916349,1118.4210240140353,1.0287115832097324,0.00021557200842364658,-0.18258857902326617,0.28358410786069843,0.4185712000000003,0.2639771947014071,-0.05710869362198708,0.13435717250778778,0.39159280134535923,0.10810727119108204
Rand,100,8,5000,0,214.02346554596164,1150.5326623085284,1.0,0.003554040803793487,-0.18246061638997932,0.2916735979653167,0.42067008000000033,0.2644193891594684,-0.056470901041432715,0.13391043972408498,0.3934556982275811,0.10653587720911456
Scps,100,8,5000,0,213.26295801594998,339.679190389039,3.3871155338977594,-1.1971936248885322e-05,-0.045285921804282925,0.17244568413769717,0.1573264000000001,0.0658175746565211,-0.3412715991626678,0.0950874391175644,0.24908007940419596,0.05022704438781441
Wave,100,8,5000,0,213.7025435268477,348.48137050052986,3.3015614598163405,0.002049240438828178,-0.03848387085975962,0.15111092191940576,0.15660832000000008,0.06029492677179809,-0.5024599293106085,0.1023817338535592,0.24545955213967086,0.04686162994047328
