Method,N,n,ite,rho,HTm,HTv,Eff,RB,Dm,Ds,Vm,Vs,Mm,Ms,Lm,Ls
Lopi,100,5,5000,0,210.9739785017692,847.4179471748186,2.1938975982985376,0.0001736449039152677,0.0760008766152129,0.27544167545013626,0.10875080000000013,0.070969731857518,-0.25226736951619394,0.1038793234681856,0.32209567234433517,0.08392983915664963
Maxe,100,5,5000,0,210.9343871486645,1944.5485052114734,0.9560821928994389,-1.404756992728661e-05,-0.1802815155154915,0.3460873242360246,0.24980840000000015,0.1871927827589072,-0.07169833114245273,0.12788156291674033,0.4387248477798846,0.12667406717876947
Rand,100,5,5000,0,211.55205166272194,1859.1481990619113,1.0,0.0029141418339969443,-0.18331081808392488,0.34480936412712926,0.25331780000000015,0.1906931303879492,-0.07239415809728313,0.12910887794856585,0.44005734589080286,0.12782065459398165
Scps,100,5,5000,0,210.66662722850853,758.0424961291989,2.4525646102366307,-0.0012834288329788507,0.11381394361965981,0.2562697869640975,0.10009060000000013,0.06573094935554069,-0.2987686652549214,0.08771220699713819,0.3120021208800036,0.08360431041844983
Wave,100,5,5000,0,210.56749151632917,774.7737004297352,2.399601584347427,-0.0017534058760943633,0.13364280346367347,0.21926736193181,0.09815000000000014,0.056794234011943605,-0.37764885546709104,0.09635547950193059,0.30490983558698503,0.07854028368205677
