Method,N,n,ite,rho,HTm,HTv,Eff,RB,Dm,Ds,Vm,Vs,Mm,Ms,Lm,Ls
Lopi,100,8,5000,0,217.67104328470478,420.38441348875,2.854061375016805,-0.0002477895363816323,0.16419171022358883,0.20778651358828573,0.09436351288888893,0.04976596403273206,-0.29268240245851995,0.09803391154714337,0.223880817548215,0.04984434439433152
Maxe,100,8,5000,0,217.6726700704128,1183.4586521779827,1.01381059235933,-0.0002403177910221776,-0.08229356862909448,0.31660987039294447,0.273624697777778,0.18579680863835626,-0.05266232142899764,0.13251151737088618,0.3402109979450638,0.0925113270572458
Rand,100,8,5000,0,217.88081398801538,1199.8029171973349,1.0,0.0007156768078806726,-0.08083834398220169,0.32216088024098805,0.2738280933333335,0.17475015569996066,-0.049624707126389514,0.13405310401820675,0.3418633915104708,0.08973609317611086
Scps,100,8,5000,0,217.8383173770769,385.4857474797397,3.1124442992808543,0.0005204920001917915,0.17866485843127566,0.18773265969183922,0.08245505777777781,0.0428262653453397,-0.35761999129988503,0.07873312263014709,0.21325402851009836,0.048614860883855436
Wave,100,8,5000,0,217.72304946870966,393.2679744890027,3.0508533494401946,-8.927735417815261e-06,0.19692924652342264,0.1505222212495965,0.0752958266666667,0.03670853096401571,-0.4626824076500466,0.08390258505119871,0.2053534006647284,0.0461916838908558
