Method,N,n,ite,rho,HTm,HTv,Eff,RB,Dm,Ds,Vm,Vs,Mm,Ms,Lm,Ls
Lopi,144,4,5000,0,311.08862473883977,2006.8067674296751,2.454016800143308,-0.0005582027348130525,-0.009391291431962363,0.28698225581260106,0.15320478395061665,0.08944152512581169,-0.24457268138963992,0.12947902791559476,0.3989581893818864,0.09022035210955666
Maxe,144,4,5000,0,311.02108790204625,4774.4213935129455,1.031483632468009,-0.0007751799309518991,-0.24139375412681094,0.34967749102328616,0.29915563271604817,0.20398994957936276,-0.08196760026725497,0.12387466297384668,0.5338010729698136,0.15118571689080826
Rand,144,4,5000,0,310.56061898606794,4924.737521913707,1.0,-0.002254539330082822,-0.2454350836935232,0.34272411138814385,0.301235185185184,0.21177903940860318,-0.08117961671945291,0.12125773257711556,0.5327370993553945,0.15328639283665485
Scps,144,4,5000,0,312.11106447128554,1947.8212018508464,2.5283314080543704,0.002726613624669092,-0.00454018967332574,0.2836792097499375,0.1464182098765426,0.08487701516041803,-0.2611516711288074,0.12317792830378961,0.39042839743152064,0.08872823756907122
Wave,144,4,5000,0,311.7555016001458,1950.6003089423173,2.524729181748192,0.001584288361985506,0.012634173455219486,0.26470912018785303,0.15095702160493762,0.0856216152156809,-0.3907146751291566,0.192942035581788,0.38278293371076777,0.08446783930222446
