design,population,design_type,n,mode,y,true_total,mean_nht,true_var_nht,E_vLM,E_VarB_UP_z,ratio_vLM,ratio_VarB_UP_z,relbias_vLM,relbias_VarB_UP_z,lm_q,lm_weight_method,lm_include_self
meuse_best_20_ep,meuse,best,20,ep,z,503.09999999999997,503.1000003813625,11087.379438978296,16436.820949956014,4162.641486686168,1.4824802416494796,0.375439616691765,0.48248024164947956,-0.6245603833082349,4,equal,False
meuse_best_20_up,meuse,best,20,up,z,503.09999999999997,503.09999977098875,2187.4232930875633,3539.9633614947134,709.2224616653209,1.6183257134918914,0.3242273518374436,0.6183257134918914,-0.6757726481625563,4,equal,False
meuse_best_5_ep,meuse,best,5,ep,z,503.09999999999997,503.0999994311715,60441.98261183223,73733.33038212617,14413.374771647312,1.2199025775784529,0.23846628037025583,0.21990257757845288,-0.7615337196297441,4,equal,False
meuse_best_5_up,meuse,best,5,up,z,503.09999999999997,503.10000023396555,14003.850619417955,15320.299650157398,2795.7412378908275,1.094006217755139,0.1996408926280754,0.09400621775513907,-0.8003591073719246,4,equal,False
meuse_initial_10_ep,meuse,initial,10,ep,z,503.09999999999997,503.0999999999999,31012.364999999998,37305.02703124999,6413.36064516129,1.2029081636066774,0.20680011489485858,0.2029081636066774,-0.7931998851051414,4,equal,False
meuse_initial_10_up,meuse,initial,10,up,z,503.09999999999997,503.1000001349269,4780.401306970731,8004.052235255056,2006.8896771814075,1.674347344768656,0.419816151053047,0.6743473447686561,-0.5801838489469531,4,equal,False
meuse_initial_20_ep,meuse,initial,20,ep,z,503.09999999999997,503.09999999999997,9262.648749999997,17545.547109375,3973.4421370967716,1.8942256780896507,0.4289747181762423,0.8942256780896507,-0.5710252818237578,4,equal,False
meuse_initial_20_up,meuse,initial,20,up,z,503.09999999999997,503.1000001020156,3358.1447160666103,3787.577241135105,704.1320780559919,1.1278779091960898,0.2096788964118082,0.12787790919608977,-0.7903211035881919,4,equal,False
meuse_initial_5_ep,meuse,initial,5,ep,z,503.09999999999997,503.1000004718081,54319.560103552896,75646.58749095887,16719.899996155476,1.392621504053952,0.3078062481412082,0.392621504053952,-0.6921937518587917,4,equal,False
meuse_initial_5_up,meuse,initial,5,up,z,503.09999999999997,503.10000053712594,10462.44942565605,16426.987417077202,3241.549305279027,1.57009001895817,0.30982699876475295,0.5700900189581699,-0.690173001235247,4,equal,False
regular_best_20_ep,regular,best,20,ep,z,2999.3156558692144,2999.3156558692153,22910.68073108713,25644.41760482578,35621.40206080333,1.1193215036177115,1.5547945728417065,0.11932150361771154,0.5547945728417065,4,equal,False
