design,population,design_type,n,mode,y,true_total,mean_nht,true_var_nht,E_vLM_Tille_j3,ratio_vLM_Tille_j3,relbias_vLM_Tille_j3,E_vLM_Tille_j4,ratio_vLM_Tille_j4,relbias_vLM_Tille_j4,E_vLM_Tille_j5,ratio_vLM_Tille_j5,relbias_vLM_Tille_j5,E_VarB_a00,ratio_VarB_a00,relbias_VarB_a00,E_VarB_a02,ratio_VarB_a02,relbias_VarB_a02,E_VarB_a025,ratio_VarB_a025,relbias_VarB_a025,E_VarB_a03,ratio_VarB_a03,relbias_VarB_a03,E_VarB_a035,ratio_VarB_a035,relbias_VarB_a035,E_VarB_a04,ratio_VarB_a04,relbias_VarB_a04,E_VarB_a05,ratio_VarB_a05,relbias_VarB_a05,E_VarB_a075,ratio_VarB_a075,relbias_VarB_a075,E_VarB_a10,ratio_VarB_a10,relbias_VarB_a10,best_lm_j,best_lm_relbias,best_lm_ratio,best_lm_value,best_varb_alpha_name,best_varb_relbias,best_varb_ratio,best_varb_value
aggregated_best_20_ep,aggregated,best,20,ep,z,2890.7252931792573,2890.7252931792573,11592.043952496666,12889.85862028936,1.111957362576526,0.111957362576526,16301.203485487684,1.4062406554261528,0.40624065542615284,20261.639961717556,1.747891920074514,0.747891920074514,13784.77384965125,1.189158176602869,0.18915817660286893,13784.773849651254,1.1891581766028694,0.18915817660286938,13784.77384965125,1.189158176602869,0.18915817660286893,13784.77384965125,1.189158176602869,0.18915817660286893,13784.773849651252,1.1891581766028692,0.18915817660286915,13784.77384965125,1.189158176602869,0.18915817660286893,13784.77384965125,1.189158176602869,0.18915817660286893,13784.77384965125,1.189158176602869,0.18915817660286893,13784.77384965125,1.189158176602869,0.18915817660286893,3,0.111957362576526,1.111957362576526,12889.85862028936,00,0.18915817660286893,1.189158176602869,13784.77384965125
aggregated_best_20_ep,aggregated,best,20,ep,plane,2890.7252931792573,2890.7252931792573,11592.043952496666,12889.85862028936,1.111957362576526,0.111957362576526,16301.203485487684,1.4062406554261528,0.40624065542615284,20261.639961717556,1.747891920074514,0.747891920074514,13784.77384965125,1.189158176602869,0.18915817660286893,13784.773849651254,1.1891581766028694,0.18915817660286938,13784.77384965125,1.189158176602869,0.18915817660286893,13784.77384965125,1.189158176602869,0.18915817660286893,13784.773849651252,1.1891581766028692,0.18915817660286915,13784.77384965125,1.189158176602869,0.18915817660286893,13784.77384965125,1.189158176602869,0.18915817660286893,13784.77384965125,1.189158176602869,0.18915817660286893,13784.77384965125,1.189158176602869,0.18915817660286893,3,0.111957362576526,1.111957362576526,12889.85862028936,00,0.18915817660286893,1.189158176602869,13784.77384965125
aggregated_best_20_ep,aggregated,best,20,ep,peak,7263.699970585046,7263.699970585045,26938.659350133385,92234.90348141365,3.4238861809192804,2.4238861809192804,107554.57080177023,3.9925732533247866,2.9925732533247866,112263.03953692756,4.167358073681261,3.167358073681261,44320.0739374742,1.645221960062194,0.645221960062194,44320.0739374742,1.645221960062194,0.645221960062194,44320.0739374742,1.645221960062194,0.645221960062194,44320.07393747419,1.6452219600621938,0.6452219600621938,44320.0739374742,1.645221960062194,0.645221960062194,44320.07393747419,1.6452219600621938,0.6452219600621938,44320.0739374742,1.645221960062194,0.645221960062194,44320.0739374742,1.645221960062194,0.645221960062194,44320.0739374742,1.645221960062194,0.645221960062194,3,2.4238861809192804,3.4238861809192804,92234.90348141365,03,0.6452219600621938,1.6452219600621938,44320.07393747419
aggregated_best_20_ep,aggregated,best,20,ep,bird,6671.0377551274105,6671.0377551274105,45115.21221798892,107212.10859233823,2.3764070547714113,1.3764070547714113,116271.32494244556,2.577208866504774,1.5772088665047739,122994.91079617583,2.72624032448048,1.72624032448048,40573.2147168413,0.8993244788653222,-0.10067552113467781,40573.214716841314,0.8993244788653225,-0.10067552113467748,40573.2147168413,0.8993244788653222,-0.10067552113467781,40573.21471684131,0.8993244788653223,-0.1006755211346777,40573.214716841314,0.8993244788653225,-0.10067552113467748,40573.2147168413,0.8993244788653222,-0.10067552113467781,40573.2147168413,0.8993244788653222,-0.10067552113467781,40573.2147168413,0.8993244788653222,-0.10067552113467781,40573.2147168413,0.8993244788653222,-0.10067552113467781,3,1.3764070547714113,2.3764070547714113,107212.10859233823,02,-0.10067552113467748,0.8993244788653225,40573.214716841314
aggregated_best_50_ep,aggregated,best,50,ep,z,2890.7252931792573,2890.7252931792573,538.0383998388587,1298.6237197910634,2.4136264626837014,1.4136264626837014,1802.50459470673,3.3501411706795947,2.3501411706795947,2359.628740096252,4.38561400227745,3.3856140022774497,1926.214487396534,3.5800687980141026,2.5800687980141026,1926.2144873965362,3.5800687980141066,2.5800687980141066,1926.214487396534,3.5800687980141026,2.5800687980141026,1926.2144873965335,3.5800687980141017,2.5800687980141017,1926.2144873965333,3.5800687980141013,2.5800687980141013,1926.214487396534,3.5800687980141026,2.5800687980141026,1926.214487396534,3.5800687980141026,2.5800687980141026,1926.214487396534,3.5800687980141026,2.5800687980141026,1926.214487396534,3.5800687980141026,2.5800687980141026,3,1.4136264626837014,2.4136264626837014,1298.6237197910634,035,2.5800687980141013,3.5800687980141013,1926.2144873965333
aggregated_best_50_ep,aggregated,best,50,ep,plane,2890.7252931792573,2890.7252931792573,538.0383998388587,1298.6237197910634,2.4136264626837014,1.4136264626837014,1802.50459470673,3.3501411706795947,2.3501411706795947,2359.628740096252,4.38561400227745,3.3856140022774497,1926.214487396534,3.5800687980141026,2.5800687980141026,1926.2144873965362,3.5800687980141066,2.5800687980141066,1926.214487396534,3.5800687980141026,2.5800687980141026,1926.2144873965335,3.5800687980141017,2.5800687980141017,1926.2144873965333,3.5800687980141013,2.5800687980141013,1926.214487396534,3.5800687980141026,2.5800687980141026,1926.214487396534,3.5800687980141026,2.5800687980141026,1926.214487396534,3.5800687980141026,2.5800687980141026,1926.214487396534,3.5800687980141026,2.5800687980141026,3,1.4136264626837014,2.4136264626837014,1298.6237197910634,035,2.5800687980141013,3.5800687980141013,1926.2144873965333
aggregated_best_50_ep,aggregated,best,50,ep,peak,7263.699970585046,7263.699970585045,4907.896100426886,13987.910763170623,2.8500829025198726,1.8500829025198726,20039.748025081844,4.083164682997018,3.083164682997018,24499.71334741056,4.991897311208278,3.9918973112082776,7317.16975118886,1.4908974439276366,0.49089744392763657,7317.169751188864,1.4908974439276377,0.4908974439276377,7317.16975118886,1.4908974439276366,0.49089744392763657,7317.169751188861,1.4908974439276368,0.4908974439276368,7317.169751188856,1.490897443927636,0.4908974439276359,7317.169751188862,1.4908974439276372,0.49089744392763723,7317.16975118886,1.4908974439276366,0.49089744392763657,7317.16975118886,1.4908974439276366,0.49089744392763657,7317.16975118886,1.4908974439276366,0.49089744392763657,3,1.8500829025198726,2.8500829025198726,13987.910763170623,035,0.4908974439276359,1.490897443927636,7317.169751188856
aggregated_best_50_ep,aggregated,best,50,ep,bird,6671.0377551274105,6671.0377551274105,9162.792160333871,21897.641873123303,2.3898437823264347,1.3898437823264347,28620.520925370925,3.1235588917175723,2.1235588917175723,32466.11930756931,3.543256110087989,2.543256110087989,10367.872942261907,1.1315189475916396,0.13151894759163962,10367.872942261916,1.1315189475916405,0.1315189475916405,10367.872942261907,1.1315189475916396,0.13151894759163962,10367.872942261905,1.1315189475916394,0.1315189475916394,10367.872942261909,1.1315189475916398,0.13151894759163985,10367.872942261909,1.1315189475916398,0.13151894759163985,10367.872942261907,1.1315189475916396,0.13151894759163962,10367.872942261907,1.1315189475916396,0.13151894759163962,10367.872942261907,1.1315189475916396,0.13151894759163962,3,1.3898437823264347,2.3898437823264347,21897.641873123303,03,0.1315189475916394,1.1315189475916394,10367.872942261905
aggregated_initial_20_ep,aggregated,initial,20,ep,z,2890.7252931792573,2890.7252931792573,26278.907308649246,9880.69415511692,0.3759933409356355,-0.6240066590643645,13148.632185974566,0.5003492737175919,-0.49965072628240814,17044.41922070962,0.648596953462359,-0.351403046537641,20106.22107641783,0.7651087178118786,-0.2348912821881214,20106.221076417834,0.7651087178118787,-0.23489128218812128,20106.22107641783,0.7651087178118786,-0.2348912821881214,20106.22107641783,0.7651087178118786,-0.2348912821881214,20106.22107641783,0.7651087178118786,-0.2348912821881214,20106.22107641783,0.7651087178118786,-0.2348912821881214,20106.22107641783,0.7651087178118786,-0.2348912821881214,20106.22107641783,0.7651087178118786,-0.2348912821881214,20106.22107641783,0.7651087178118786,-0.2348912821881214,5,-0.351403046537641,0.648596953462359,17044.41922070962,02,-0.23489128218812128,0.7651087178118787,20106.221076417834
aggregated_initial_20_ep,aggregated,initial,20,ep,plane,2890.7252931792573,2890.7252931792573,26278.907308649246,9880.69415511692,0.3759933409356355,-0.6240066590643645,13148.632185974566,0.5003492737175919,-0.49965072628240814,17044.41922070962,0.648596953462359,-0.351403046537641,20106.22107641783,0.7651087178118786,-0.2348912821881214,20106.221076417834,0.7651087178118787,-0.23489128218812128,20106.22107641783,0.7651087178118786,-0.2348912821881214,20106.22107641783,0.7651087178118786,-0.2348912821881214,20106.22107641783,0.7651087178118786,-0.2348912821881214,20106.22107641783,0.7651087178118786,-0.2348912821881214,20106.22107641783,0.7651087178118786,-0.2348912821881214,20106.22107641783,0.7651087178118786,-0.2348912821881214,20106.22107641783,0.7651087178118786,-0.2348912821881214,5,-0.351403046537641,0.648596953462359,17044.41922070962,02,-0.23489128218812128,0.7651087178118787,20106.221076417834
